,UserID,ProductID,Rating
128037,A3QZIJP6TD6YNM,B000ENQRCI,5
491755,A2EAV3BC6HQC8S,B000YRU4NM,5
2568076,A2M6VNZ7Q9ELRK,B001T7F49K,5
491263,A2SRV8J3XK8DDX,B000YQNL1U,4
836489,A24FJ2J6GJJTJ0,B0028M0YTU,5
2468555,A5T5Y49C4KO6W,B01G7GST94,4
73349,ALJCBIBGP35XU,B0009PUQ50,5
1166159,A2F6IW0JGNAU7Y,B005E0U9YS,5
2326672,A1WVUS9VHFA75H,B018LUJVLY,3
413825,A2YATGSCFBSQT4,B00152O9U4,5
925255,A2GMT8Z7INDO7Z,B0037TMWNO,5
1215878,A18I0JM8N58ITE,B005XYJESC,5
2610452,A7JS1CYEWFM06,B004UOUEU8,5
1070334,A2MZTHIV2EBZRY,B004NFT1OE,5
2788242,A2OCHU4XRJZGZ1,B00ZS88R0Y,5
575956,A3F7PBATA5KROT,B001629MHS,4
1506187,ALTK5OS20Z0D4,B00BMSGU9Y,5
401660,A3IPFQDMA3EFRX,B00144C270,4
806378,ADVFXM1P1NLIJ,B001V5ZQSY,4
365212,A3C0ZXZKILD3PU,B00124P7SI,5
188317,A1366N98P3M902,B000IZGFCE,5
1005966,A1O7AKVUH4482D,B00451ZGCW,4
2343474,A37GTXWC2Z4NG8,B019LBCK5Q,5
1342679,AI1RRX9NPDVQF,B00845SSAC,5
745431,A2T6HJSOQU7Y9M,B001MWRROM,1
412649,A3QCQMGZJE54XV,B0014VX2M2,5
148209,A3TAIJZGO6Z6GK,B000FI6YOS,5
2797022,A7UV0N86TQO4,B01410CWLY,5
296022,A3S4B1TPZB6TZV,B000STDIEI,5
645097,A2TVFBNXKYWRH4,B001B6RJG0,5
2096521,A2XOT42O1AJ4GD,B00V3AIOE0,4
99335,AVDU1PONWCCVN,B000BO64BE,5
117565,ACUDED9YJEI51,B000E2Z8YC,5
2467129,A2Q5RVGNAQZZCW,B01G5EFRSE,5
1772033,AK2I3P5QMYBHP,B00IMVWJMQ,1
323900,A1Y5FVE6WA7997,B000WBIOD2,5
